Training for 1 epochs (250065 iterations).
Accuracy 0.19768934531450577
Epoch 1
Iteration:  12300 	Average Loss:  1.530852142219949
Iteration:  12400 	Average Loss:  1.6589565229878696
Iteration:  12500 	Average Loss:  1.4768634494567108
Iteration:  12600 	Average Loss:  1.6108270721613136
Iteration:  12700 	Average Loss:  1.57625383369479
Iteration:  12800 	Average Loss:  1.5397056662454238
Iteration:  12900 	Average Loss:  1.2372123968897053
Iteration:  13000 	Average Loss:  1.478064802005526
Iteration:  13100 	Average Loss:  1.4602833783450846
Iteration:  13200 	Average Loss:  1.411059241345638
Iteration:  13300 	Average Loss:  1.3222829555430937
Iteration:  13400 	Average Loss:  1.513563065239711
Iteration:  13500 	Average Loss:  1.4301379867875565
Iteration:  13600 	Average Loss:  1.3226638080999107
Iteration:  13700 	Average Loss:  1.6358290876266068
Iteration:  13800 	Average Loss:  1.3788206185297076
Iteration:  13900 	Average Loss:  1.7004355707803347
Iteration:  14000 	Average Loss:  1.541420995352019
Iteration:  14100 	Average Loss:  1.1426111770191678
Iteration:  14200 	Average Loss:  1.4725883205447121
Iteration:  14300 	Average Loss:  1.4817058658322138
Iteration:  14400 	Average Loss:  1.3262001630716242
Iteration:  14500 	Average Loss:  1.3513055226524155
Iteration:  14600 	Average Loss:  1.4412223343210433
Iteration:  14700 	Average Loss:  1.4358951327245721
Iteration:  14800 	Average Loss:  1.4252914734766295
Iteration:  14900 	Average Loss:  1.5925197624064733
Iteration:  15000 	Average Loss:  1.3201520971798404
Iteration:  15100 	Average Loss:  1.4763590155675175
Iteration:  15200 	Average Loss:  1.389881801402658
Iteration:  15300 	Average Loss:  1.376748471485266
Iteration:  15400 	Average Loss:  1.4670690767220416
Iteration:  15500 	Average Loss:  1.4518438356018932
Iteration:  15600 	Average Loss:  1.469459850242554
Iteration:  15700 	Average Loss:  1.2774197594615848
Iteration:  15800 	Average Loss:  1.485050675949694
Iteration:  15900 	Average Loss:  1.3675389221614866
Iteration:  16000 	Average Loss:  1.4572474465981713
Iteration:  16100 	Average Loss:  1.4566757668295367
Iteration:  16200 	Average Loss:  1.5062589453562054
Iteration:  16300 	Average Loss:  1.3759745327173365
Iteration:  16400 	Average Loss:  1.5244245204352094
Iteration:  16500 	Average Loss:  1.40335655838925
Iteration:  16600 	Average Loss:  1.2399712404058738
Iteration:  16700 	Average Loss:  1.4856133774836664
Iteration:  16800 	Average Loss:  1.3884673096206839
Iteration:  16900 	Average Loss:  1.3569858951485825
Iteration:  17000 	Average Loss:  1.4696232927697672
Iteration:  17100 	Average Loss:  1.3764324037733295
Iteration:  17200 	Average Loss:  1.3890156156559865
Iteration:  17300 	Average Loss:  1.5388646910528676
Iteration:  17400 	Average Loss:  1.2920870493906111
Iteration:  17500 	Average Loss:  1.411743300684841
Iteration:  17600 	Average Loss:  1.358881544318504
Iteration:  17700 	Average Loss:  1.334341271797885
Iteration:  17800 	Average Loss:  1.4506898537700892
Iteration:  17900 	Average Loss:  1.285770686258192
Iteration:  18000 	Average Loss:  1.4309392848708438
Iteration:  18100 	Average Loss:  1.4992459338799984
Iteration:  18200 	Average Loss:  1.3543373224199882
Iteration:  18300 	Average Loss:  1.4603023597662272
Iteration:  18400 	Average Loss:  1.42051204440408
